Timestamp,Open,High,Low,Close,Volume
2020-02-03,188.16,195.14,186.43,189.78,46618.35620077
2020-02-04,189.48,191.28,184.0,188.35,49348.68733562
2020-02-05,188.35,207.95,187.71,203.76,83023.94839104
2020-02-06,203.76,216.4,201.19,212.92,99622.64500428
2020-02-07,213.1,224.77,213.1,222.91,96326.78752993
2020-02-08,222.86,228.0,213.41,223.27,101689.6320767
2020-02-09,223.3,230.8,222.98,228.64,70206.97449789
2020-02-10,228.79,229.4,216.6,223.0,73387.3109162
2020-02-11,223.01,239.89,217.7,237.83,96819.06839825
2020-02-12,238.06,275.88,238.06,266.4,180386.24383892
2020-02-13,266.56,278.0,254.22,268.64,138631.31622842
2020-02-14,268.6,287.71,259.63,285.96,97551.99876697
2020-02-15,285.88,288.98,261.0,264.92,115019.54091253
2020-02-16,264.74,274.03,237.0,258.82,125637.05309051
2020-02-17,258.97,268.99,242.51,268.22,108345.17749976
2020-02-18,268.19,286.49,259.46,282.82,117604.64423013
2020-02-19,283.0,287.0,251.25,258.85,110871.69605685
2020-02-20,258.61,264.24,244.24,257.96,89228.36438694
2020-02-21,257.55,268.5,254.24,265.58,58126.81241369
2020-02-22,265.62,267.01,256.1,262.48,37601.63717446
2020-02-23,262.12,276.58,261.75,275.73,33439.82731264
2020-02-24,275.58,278.26,256.83,265.81,77309.34870926
2020-02-25,265.57,266.25,244.0,246.7,92993.81715936
2020-02-26,246.29,249.89,215.67,223.71,172998.02576401
2020-02-27,223.74,238.13,208.0,227.5,115934.47002126
2020-02-28,227.5,234.39,213.68,227.09,93764.78862581
2020-02-29,227.17,233.31,216.91,217.78,43962.8522805
2020-03-01,217.31,228.0,212.02,217.5,77111.93262878
2020-03-02,217.41,235.52,215.69,232.0,78810.66800248
2020-03-03,232.0,232.99,220.25,223.53,59952.57103945
2020-03-04,223.66,228.89,220.47,224.48,33625.53923481
2020-03-05,224.49,234.6,224.49,228.66,74773.41310502
2020-03-06,228.66,246.27,227.67,245.74,69928.42793991
2020-03-07,245.92,252.5,236.22,237.6,59102.82586
2020-03-08,237.36,237.36,196.0,199.89,132693.27360075
2020-03-09,199.47,208.68,189.07,203.38,152922.60056281
2020-03-10,202.83,206.42,194.77,200.15,70710.79601339
2020-03-11,200.51,203.0,182.0,194.81,105387.20418327
2020-03-12,195.3,195.58,101.52,108.78,770373.30185225
2020-03-13,108.34,145.1,89.8,135.45,612320.30051391
2020-03-14,135.13,135.3,120.34,122.28,82316.32931866
2020-03-15,122.16,133.97,119.86,123.24,144781.81111011
2020-03-16,123.19,123.76,100.63,110.97,231027.39959911
2020-03-17,111.38,121.45,109.68,116.11,120621.74674374
2020-03-18,116.11,118.72,110.19,118.61,114191.54368246
2020-03-19,118.57,143.34,115.84,136.75,185200.5142416
2020-03-20,136.72,153.49,115.0,133.5,244172.09812835
2020-03-21,133.51,138.33,125.79,132.64,99699.89953731
2020-03-22,132.64,137.38,108.1,122.38,153222.4740384
2020-03-23,122.23,138.25,119.26,136.58,132755.99364822
2020-03-24,136.53,144.3,133.19,139.22,113257.8162248
2020-03-25,138.97,143.43,132.68,136.35,73477.44447702
2020-03-26,136.35,140.04,133.57,139.01,57933.93256627
2020-03-27,139.1,141.83,129.19,131.59,58091.82679527
2020-03-28,131.59,133.3,125.0,131.38,62692.41574059
2020-03-29,131.27,131.99,123.94,124.36,52229.76819615
2020-03-30,124.35,135.47,124.02,132.28,64030.52893773
2020-03-31,132.13,135.36,130.35,133.1,39716.41548797
2020-04-01,133.02,137.41,128.85,135.88,58248.00621362
2020-04-02,136.43,150.7,135.65,141.48,93165.67368694
2020-04-03,141.42,146.9,137.1,141.32,65305.51773647
2020-04-04,141.34,146.63,139.09,144.4,34593.66578298
2020-04-05,144.41,145.96,140.8,142.88,24456.34932635
2020-04-06,142.9,172.4,142.85,171.64,136778.4110426
2020-04-07,171.64,176.55,162.15,164.6,125730.28021148
2020-04-08,164.59,174.62,163.52,173.78,102335.5841525
2020-04-09,173.78,174.04,165.25,169.92,70517.10190078
2020-04-10,169.74,170.33,152.46,158.17,113571.99312983
2020-04-11,158.17,161.53,154.2,158.58,38376.48478581
2020-04-12,158.59,165.84,155.45,158.72,89898.13086092
2020-04-13,158.73,159.47,150.0,156.77,91555.93340983
2020-04-14,156.99,162.26,155.55,158.59,45030.56173358
2020-04-15,158.51,161.47,151.82,152.62,59656.35534289
2020-04-16,152.62,175.41,147.0,172.73,176544.133941
2020-04-17,172.69,175.0,168.38,170.92,69101.5601301
2020-04-18,170.91,189.89,170.8,187.65,107235.98876226
2020-04-19,187.84,188.66,176.0,180.22,86172.83774651
2020-04-20,180.19,186.76,166.13,170.49,172460.37980459
2020-04-21,170.4,174.79,168.32,170.99,59116.72231618
2020-04-22,170.94,184.69,170.09,183.16,86826.78907631
2020-04-23,183.03,194.38,178.52,185.68,138976.4435884
2020-04-24,185.64,190.24,184.2,187.72,110636.17408193
2020-04-25,187.81,198.0,185.81,194.52,86637.30531479
2020-04-26,194.51,200.0,192.5,197.83,77204.52167841
2020-04-27,197.85,199.33,187.3,196.84,79847.05457062
2020-04-28,196.72,198.1,192.42,196.71,68848.62727574
2020-04-29,197.05,219.09,196.75,215.45,143120.48978099
2020-04-30,215.45,227.53,202.4,206.2,153699.63632427
2020-05-01,206.16,217.42,206.14,211.88,69786.73062528
2020-05-02,211.98,215.71,210.54,214.11,41002.81001894
2020-05-03,214.04,219.32,203.8,209.9,69177.39109486
2020-05-04,210.08,210.8,195.15,206.99,117103.78706901
2020-05-05,207.0,212.19,200.82,205.62,53264.40639542
2020-05-06,205.48,211.31,197.0,199.48,70143.20767378
2020-05-07,199.3,215.18,196.99,212.34,115539.52610076
2020-05-08,212.5,217.08,207.21,211.62,52790.30509788
2020-05-09,211.6,214.72,208.4,210.03,35237.27424765
2020-05-10,209.88,209.95,180.4,188.02,154579.58227803
